team,season,player_stats,match_stats,team_stats
America,2024/2025,1,0,0
America,2023/2024,1,1,60
America,2022/2023,1,1,60
America,2021/2022,1,1,60
America,2020/2021,1,1,54
Cruz Azul,2024/2025,1,0,0
Cruz Azul,2023/2024,1,1,60
Cruz Azul,2022/2023,1,1,60
Cruz Azul,2021/2022,1,1,60
Cruz Azul,2020/2021,1,1,54
Monterrey,2024/2025,1,0,0
Monterrey,2023/2024,1,1,60
Monterrey,2022/2023,1,1,60
Monterrey,2021/2022,1,1,60
Monterrey,2020/2021,1,1,54
Pachuca,2024/2025,1,0,0
Pachuca,2023/2024,1,1,60
Pachuca,2022/2023,1,1,60
Pachuca,2021/2022,1,1,60
Pachuca,2020/2021,1,1,54
Toluca,2024/2025,1,0,0
Toluca,2023/2024,1,1,60
Toluca,2022/2023,1,1,60
Toluca,2021/2022,1,1,60
Toluca,2020/2021,1,1,54
Tigres,2024/2025,1,0,0
Tigres,2023/2024,1,1,60
Tigres,2022/2023,1,1,60
Tigres,2021/2022,1,1,60
Tigres,2020/2021,1,1,54
Leon,2024/2025,1,0,0
Leon,2023/2024,1,1,60
Leon,2022/2023,1,1,60
Leon,2021/2022,1,1,60
Leon,2020/2021,1,1,54
Necaxa,2024/2025,1,0,0
Necaxa,2023/2024,1,1,60
Necaxa,2022/2023,1,1,60
Necaxa,2021/2022,1,1,60
Necaxa,2020/2021,1,1,54
