team_name,season_name,total_players,players_min_5_appearances,avg_player_goals,max_player_goals,total_goals_top5,avg_player_assists,max_player_assists,goal_contribution_top5,avg_minutes_played,minutes_played_variation,player_continuity,team_id,player_retention_rate,retained_goal_contribution
America,2020/2021,4,4,23.5,32,94,1.75,3,101,1667.5,980.7128359854717,1.0,2687,0.0,0.0
America,2021/2022,6,6,21.5,32,116,1.6666666666666667,5,126,1634.8333333333333,897.6728617189375,1.0,2687,0.75,0.7722772277227723
America,2022/2023,13,10,17.0,42,175,3.1538461538461537,12,199,1618.3076923076924,1251.0483193849457,1.0,2687,1.0,1.0
America,2023/2024,16,15,12.25,28,110,2.625,10,134,2085.8125,1041.7834847830266,1.0,2687,0.7692307692307693,0.9885496183206107
America,2024/2025,35,24,8.857142857142858,29,125,1.6,12,158,1136.5714285714287,971.7781242079261,1.0,2687,1.0,1.0
Cruz Azul,2020/2021,2,2,24.0,28,48,1.0,2,50,1358.0,1593.818684794478,1.0,2626,0.0,0.0
Cruz Azul,2021/2022,6,4,13.166666666666666,28,78,0.5,3,81,1030.0,1134.6467291628703,1.0,2626,1.0,1.0
Cruz Azul,2022/2023,7,5,24.428571428571427,53,169,2.0,6,182,1629.5714285714287,1443.3344330799725,1.0,2626,0.8333333333333334,0.8536585365853658
Cruz Azul,2023/2024,18,15,13.166666666666666,40,178,0.9444444444444444,5,193,1413.8333333333333,1179.4138748697567,1.0,2626,1.0,1.0
Cruz Azul,2024/2025,27,22,9.444444444444445,34,133,1.8148148148148149,7,146,1315.1851851851852,1199.283922149349,1.0,2626,0.9444444444444444,1.0
Leon,2020/2021,3,3,38.0,43,114,2.0,5,120,2249.3333333333335,1428.7089743307884,1.0,10836,0.0,0.0
Leon,2021/2022,3,2,34.0,40,102,0.0,0,102,1728.6666666666667,1488.1617295621243,1.0,10836,1.0,1.0
Leon,2022/2023,8,5,10.0,32,76,0.875,4,80,913.75,989.2683804567032,1.0,10836,0.6666666666666666,0.7156862745098039
Leon,2023/2024,12,10,10.083333333333334,29,102,0.5833333333333334,3,108,1045.9166666666667,929.5671972710871,1.0,10836,1.0,1.0
Leon,2024/2025,26,23,11.076923076923077,43,157,1.0,6,165,1151.6538461538462,901.8327979091332,1.0,10836,1.0,1.0
Monterrey,2020/2021,3,2,15.666666666666666,27,47,0.0,0,47,880.6666666666666,1012.0060935257917,1.0,2662,0.0,0.0
Monterrey,2021/2022,6,5,22.666666666666668,37,135,1.0,3,140,1684.1666666666667,1129.9945870076842,1.0,2662,1.0,1.0
Monterrey,2022/2023,8,8,16.875,30,126,1.125,5,130,2022.125,1045.4234190030372,1.0,2662,0.8333333333333334,0.8802816901408451
Monterrey,2023/2024,14,12,13.142857142857142,30,114,1.5714285714285714,5,126,1561.7142857142858,968.6661271738916,1.0,2662,1.0,1.0
Monterrey,2024/2025,23,22,19.391304347826086,44,203,1.6956521739130435,12,217,1587.9565217391305,905.286015992177,1.0,2662,0.9285714285714286,0.9902912621359223
Necaxa,2020/2021,6,2,12.333333333333334,29,72,0.0,0,72,175.33333333333334,257.7212964942297,1.0,3951,0.0,0.0
Necaxa,2021/2022,10,2,9.8,34,81,0.0,0,81,353.8,671.8096291195727,1.0,3951,0.8333333333333334,0.8513513513513513
Necaxa,2022/2023,9,5,17.555555555555557,51,145,0.5555555555555556,3,150,821.5555555555555,1290.4708550671642,1.0,3951,0.5,0.7040816326530612
Necaxa,2023/2024,16,13,14.875,50,170,1.375,9,189,1242.625,1027.5323109274957,1.0,3951,0.8888888888888888,0.9447852760736196
Necaxa,2024/2025,28,23,16.571428571428573,51,206,1.25,12,223,1093.9642857142858,948.1175299134071,1.0,3951,0.8125,0.9846153846153847
Pachuca,2020/2021,4,2,19.25,40,77,0.0,0,77,990.25,1767.5835435230024,1.0,10036,0.0,0.0
Pachuca,2021/2022,6,4,19.666666666666668,44,116,0.3333333333333333,1,118,1031.8333333333333,1285.150172807313,1.0,10036,1.0,1.0
Pachuca,2022/2023,7,6,18.428571428571427,39,115,0.8571428571428571,5,120,1000.4285714285714,1122.3099478520269,1.0,10036,0.8333333333333334,0.8
Pachuca,2023/2024,21,18,16.80952380952381,50,191,1.1428571428571428,9,205,1192.952380952381,915.8893752080803,1.0,10036,1.0,1.0
Pachuca,2024/2025,25,22,15.36,46,187,1.36,9,196,1185.4,803.4050452086211,1.0,10036,0.9523809523809523,0.9893899204244032
Tigres,2020/2021,8,7,27.375,37,175,1.5,6,186,1732.5,1369.3614778950287,1.0,609,0.0,0.0
Tigres,2021/2022,12,12,22.583333333333332,39,164,1.5,5,173,1853.8333333333333,1382.4772780203023,1.0,609,0.875,0.9393939393939394
Tigres,2022/2023,18,15,20.166666666666668,38,167,1.6666666666666667,6,181,1639.2222222222222,1276.1216775635905,1.0,609,0.9166666666666666,0.889273356401384
Tigres,2023/2024,23,20,14.043478260869565,40,171,2.1739130434782608,6,192,1433.391304347826,1117.2267100902711,1.0,609,0.8888888888888888,0.9643765903307888
Tigres,2024/2025,28,22,8.428571428571429,31,119,1.1428571428571428,5,131,1179.5357142857142,943.9365751662069,1.0,609,0.9565217391304348,1.0
Toluca,2020/2021,2,2,7.5,13,15,0.0,0,15,1503.5,1989.0913754777582,1.0,967,0.0,0.0
Toluca,2021/2022,3,2,7.0,10,21,0.0,0,21,753.0,1184.225063068672,1.0,967,1.0,1.0
Toluca,2022/2023,5,4,22.0,46,110,1.0,2,115,1155.8,1244.5291077351305,1.0,967,0.6666666666666666,0.9523809523809523
Toluca,2023/2024,12,11,15.416666666666666,36,145,2.0,5,161,1312.25,996.7864843859719,1.0,967,1.0,1.0
Toluca,2024/2025,25,23,12.68,36,157,2.2,11,184,1277.72,924.7858995464842,1.0,967,0.9166666666666666,0.9712918660287081
