season_name,2020-2021,2020-2021,2020-2021,2020-2021,2021-2022,2021-2022,2021-2022,2021-2022,2022-2023,2022-2023,2022-2023,2022-2023,2023-2024,2023-2024,2023-2024,2023-2024
statistic_type,Cleansheets_percentage,Goals Conceded_average,Goals_average,Team Wins_percentage,Cleansheets_percentage,Goals Conceded_average,Goals_average,Team Wins_percentage,Cleansheets_percentage,Goals Conceded_average,Goals_average,Team Wins_percentage,Cleansheets_percentage,Goals Conceded_average,Goals_average,Team Wins_percentage
team_name,,,,,,,,,,,,,,,,
America,43.85999999999999,1.08,1.71,53.51,49.166666666666664,0.9266666666666667,1.2766666666666666,48.333333333333336,42.85666666666666,1.1666666666666667,2.2133333333333334,53.17333333333334,49.276666666666664,0.7399999999999999,1.8499999999999999,52.9
Cruz Azul,47.72666666666667,0.84,1.4333333333333333,53.78666666666667,43.85999999999999,1.0466666666666666,1.16,44.73666666666667,42.98333333333334,1.5966666666666667,1.26,46.49,43.333333333333336,1.2266666666666666,1.2766666666666666,47.5
Leon,43.903333333333336,1.05,1.5066666666666666,52.03333333333333,44.166666666666664,1.1266666666666667,1.15,46.666666666666664,44.44333333333333,1.28,1.36,46.296666666666674,39.473333333333336,1.4733333333333334,1.3933333333333333,45.61333333333334
Monterrey,39.64000000000001,1.0566666666666666,1.4066666666666665,47.74666666666667,44.73666666666667,0.9733333333333333,1.2366666666666666,44.73666666666667,48.413333333333334,0.8333333333333334,1.71,53.17333333333334,43.333333333333336,1.0,1.6266666666666667,50.833333333333336
Necaxa,40.95333333333333,1.4266666666666667,0.86,41.903333333333336,42.85666666666666,1.26,1.0866666666666667,45.71333333333333,39.04666666666667,1.4866666666666666,1.0066666666666666,40.95333333333333,39.81333333333333,1.64,1.4166666666666667,43.52
Pachuca,44.443333333333335,1.0,1.19,45.23666666666667,43.333333333333336,1.0999999999999999,1.5,49.166666666666664,43.089999999999996,1.1966666666666665,1.9466666666666665,52.846666666666664,40.35,1.5033333333333332,1.4166666666666667,46.49
Tigres UANL,44.73666666666667,1.0766666666666667,1.3166666666666667,46.49,44.443333333333335,1.07,1.57,50.0,49.24333333333333,0.9133333333333334,1.3399999999999999,50.0,42.06333333333333,1.2133333333333332,1.8099999999999998,48.413333333333334
Toluca,41.22666666666667,1.5666666666666667,1.4633333333333332,44.73666666666667,38.096666666666664,1.7133333333333332,1.2533333333333332,43.81,39.53333333333333,1.42,1.8333333333333333,49.61333333333334,42.593333333333334,1.1933333333333334,1.6933333333333334,46.29666666666666
